Marvel's The Avengers,207438708 ,4349 ,623357910 ,5/4/2012
Iron Man 3,174144585 ,4253 ,409013994 ,5/3/2013
Harry Potter and the Deathly Hallows Part 2,169189427 ,4375 ,381011219 ,7/15/2011
The Dark Knight Rises,160887295 ,4404 ,448139099 ,7/20/2012
The Dark Knight,158411483 ,4366 ,533345358 ,7/18/2008
The Hunger Games: Catching Fire,158074286 ,4163 ,424668047 ,11/22/2013
The Hunger Games,152535747 ,4137 ,408010692 ,3/23/2012
Spider-Man 3,151116516 ,4252 ,336530303 ,5/4/2007
The Twilight Saga: New Moon,142839137 ,4024 ,296623634 ,11/20/2009
The Twilight Saga: Breaking Dawn Part 2,141067634 ,4070 ,292324737 ,11/16/2012
The Twilight Saga: Breaking Dawn Part 1,138122261 ,4061 ,281287133 ,11/18/2011
Pirates of the Caribbean: Dead Man's Chest,135634554 ,4133 ,423315812 ,7/7/2006
Iron Man 2,128122480 ,4380 ,312433331 ,5/7/2010
Harry Potter and the Deathly Hallows Part 1,125017372 ,4125 ,295983305 ,11/19/2010
The Hunger Games: Mockingjay - Part 1,121897634 ,4151 ,231476484 ,11/21/2014
Shrek the Third,121629270 ,4122 ,322719944 ,5/18/2007
Man of Steel,116619362 ,4207 ,291045518 ,6/14/2013
Alice in Wonderland (2010),116101023 ,3728 ,334191110 ,3/5/2010
Spider-Man,114844116 ,3615 ,403706375 ,5/3/2002
Pirates of the Caribbean: At World's End,114732820 ,4362 ,309420425 ,5/25/2007
Toy Story 3,110307189 ,4028 ,415004880 ,6/18/2010
Transformers: Revenge of the Fallen,108966307 ,4234 ,402111870 ,6/24/2009
Star Wars: Episode III - Revenge of the Sith,108435841 ,3661 ,380270577 ,5/19/2005
Shrek 2,108037878 ,4163 ,441226247 ,5/19/2004
X-Men: The Last Stand,102750665 ,3690 ,234362462 ,5/26/2006
Harry Potter and the Goblet of Fire,102685961 ,3858 ,290013036 ,11/18/2005
Indiana Jones and the Kingdom of the Crystal Skull,100137835 ,4260 ,317101119 ,5/22/2008
Transformers: Age of Extinction,100038390 ,4233 ,245439076 ,6/27/2014
Iron Man,98618668 ,4105 ,318412101 ,5/2/2008
Transformers: Dark of the Moon,97852865 ,4088 ,352390543 ,6/29/2011
Fast & Furious 6,97375245 ,3658 ,238679850 ,5/24/2013
Captain America: The Winter Soldier,95023721 ,3938 ,259766572 ,4/4/2014
Guardians of the Galaxy,94320883 ,4080 ,331855381 ,8/1/2014
Harry Potter and the Prisoner of Azkaban,93687367 ,3855 ,249541069 ,6/4/2004
Godzilla (2014),93188384 ,3952 ,200676069 ,5/16/2014
The Matrix Reloaded,91774413 ,3603 ,281576461 ,5/15/2003
The Amazing Spider-Man 2,91608337 ,4324 ,202853933 ,5/2/2014
X-Men: Days of Future Past,90823660 ,3996 ,233921534 ,5/23/2014
Harry Potter and the Sorcerer's Stone,90294621 ,3672 ,317575550 ,11/16/2001
Pirates of the Caribbean: On Stranger Tides,90151958 ,4155 ,241071802 ,5/20/2011
Skyfall,88364714 ,3505 ,304360277 ,11/9/2012
Harry Potter and the Chamber of Secrets,88357488 ,3682 ,261988482 ,11/15/2002
Spider-Man 2,88156227 ,4152 ,373585825 ,6/30/2004
Fast Five,86198765 ,3644 ,209837675 ,4/29/2011
The Hangover Part II,85946294 ,3615 ,254464305 ,5/26/2011
Thor: The Dark World,85737841 ,3841 ,206362140 ,11/8/2013
X2: X-Men United,85558731 ,3741 ,214949694 ,5/2/2003
X-Men Origins: Wolverine,85058003 ,4099 ,179883157 ,5/1/2009
The Hobbit: An Unexpected Journey,84617303 ,4045 ,303003568 ,12/14/2012
The Passion of the Christ,83848082 ,3043 ,370274604 ,2/25/2004
Despicable Me 2,83517315 ,3997 ,368061265 ,7/3/2013
Monsters University,82429469 ,4004 ,268492764 ,6/21/2013
Star Wars: Episode II - Attack of the Clones,80027814 ,3161 ,302191252 ,5/16/2002
Oz The Great and Powerful,79110453 ,3912 ,234911825 ,3/8/2013
Harry Potter and the Half-Blood Prince,77835727 ,4325 ,301959197 ,7/15/2009
I Am Legend,77211321 ,3606 ,256393010 ,12/14/2007
Harry Potter and the Order of the Phoenix,77108414 ,4285 ,292004738 ,7/11/2007
The Da Vinci Code,77073388 ,3735 ,217536138 ,5/19/2006
Avatar,77025481 ,3452 ,749766139 ,12/18/2009
Star Trek,75204289 ,3849 ,257730019 ,5/8/2009
The Simpsons Movie,74036787 ,3922 ,183135014 ,7/27/2007
The Hobbit: The Desolation of Smaug,73645197 ,3903 ,258366855 ,12/13/2013
Austin Powers in Goldmember,73071188 ,3613 ,213307889 ,7/26/2002
The Lord of the Rings: The Return of the King,72629713 ,3703 ,377027325 ,12/17/2003
Dawn of the Planet of the Apes,72611427 ,3967 ,208543795 ,7/11/2014
The Lost World: Jurassic Park,72132785 ,3281 ,229086679 ,5/23/1997
Fast and Furious,70950500 ,3461 ,155064265 ,4/3/2009
300,70885301 ,3103 ,210614939 ,3/9/2007
Shrek Forever After,70838207 ,4359 ,238736787 ,5/21/2010
Transformers,70502384 ,4011 ,319246193 ,7/3/2007
The Incredibles,70467623 ,3933 ,261441092 ,11/5/2004
Finding Nemo,70251710 ,3374 ,339714978 ,5/30/2003
Dr. Seuss' The Lorax,70217070 ,3729 ,214030500 ,3/2/2012
