Mary Shelley's Frankenstein,11212889 ,2177 ,22006296 ,11/4/1994
Tyler Perry's Daddy's Little Girls,11210754 ,2111 ,31366978 ,2/14/2007
The Mothman Prophecies,11208851 ,2331 ,35746370 ,1/25/2002
Perfect Stranger,11206163 ,2661 ,23984949 ,4/13/2007
Soul Food,11197897 ,1336 ,43700855 ,9/26/1997
Jack,11191496 ,1710 ,58620973 ,8/9/1996
Friday the 13th: Final Chapter,11183148 ,1594 ,32980880 ,4/13/1984
Twins,11174980 ,1396 ,111938388 ,12/9/1988
Natural Born Killers,11166687 ,1510 ,50282766 ,8/26/1994
Mirrors,11161074 ,2664 ,30691439 ,8/15/2008
Back to the Future,11152500 ,1420 ,210609762 ,7/3/1985
The Parent Trap,11148497 ,2247 ,66308518 ,7/31/1998
Peter Pan,11139495 ,2813 ,48462608 ,12/25/2003
The Pirates! Band of Misfits,11137734 ,3358 ,31051126 ,4/27/2012
Father of the Bride Part II,11134978 ,1949 ,76594107 ,12/8/1995
Romeo + Juliet,11133231 ,1276 ,46351345 ,11/1/1996
The Wedding Date,11129580 ,1694 ,31726995 ,2/4/2005
Something to Talk About,11115697 ,1510 ,50865589 ,8/4/1995
Hollywood Homicide,11112632 ,2840 ,30940691 ,6/13/2003
Black Knight,11102948 ,2571 ,33426971 ,11/21/2001
Up Close and Personal,11101955 ,1506 ,51088705 ,3/1/1996
After the Sunset,11100392 ,2819 ,28331233 ,11/12/2004
G.I. Jane,11094241 ,1945 ,48169156 ,8/22/1997
Jumanji,11084370 ,2487 ,100475249 ,12/15/1995
"Honey, I Blew Up the Kid",11083318 ,2311 ,58662452 ,7/17/1992
The Original Kings of Comedy,11053832 ,847 ,38182790 ,8/18/2000
The Living Daylights,11051284 ,1728 ,51185897 ,7/31/1987
The Replacements,11039214 ,2754 ,44737059 ,8/11/2000
Fight Club,11035485 ,1963 ,37030102 ,10/15/1999
The Skulls,11034885 ,2412 ,35046120 ,3/31/2000
Analyze That,11034422 ,2635 ,32130627 ,12/6/2002
Fighting,11024370 ,2309 ,23091010 ,4/24/2009
Born on the Fourth of July,11023650 ,1310 ,70001698 ,1/5/1990
A Man Apart,11019224 ,2459 ,26736098 ,4/4/2003
Jay and Silent Bob Strike Back,11018543 ,2765 ,30085147 ,8/24/2001
Observe and Report,11017334 ,2727 ,24007324 ,4/10/2009
From Hell,11014818 ,2305 ,31602566 ,10/19/2001
Fracture,11014657 ,2443 ,39015018 ,4/20/2007
Bad Company,11007367 ,2944 ,30160161 ,6/7/2002
Autumn in New York,10987006 ,2255 ,37761915 ,8/11/2000
Raising Helen,10985597 ,2717 ,37486512 ,5/28/2004
The Hundred-Foot Journey,10979290 ,2023 ,54235441 ,8/8/2014
The Last of the Mohicans,10976661 ,1491 ,75505856 ,9/25/1992
Lake Placid,10974145 ,2096 ,31770414 ,7/16/1999
Abduction,10925253 ,3118 ,28087155 ,9/23/2011
Unleashed,10900901 ,1957 ,24537621 ,5/13/2005
Transcendence,10886386 ,3455 ,23022309 ,4/18/2014
Smokey and the Bandit II,10883835 ,1196 ,66132626 ,N/A
"Precious: Based on the Novel ""Push"" by Sapphire",10881772 ,629 ,47566524 ,11/20/2009
First Knight,10856442 ,2161 ,37600435 ,7/7/1995
Hot Shots!,10848182 ,1929 ,69467617 ,8/2/1991
Dumb and Dumberer: When Harry Met Lloyd,10845064 ,2609 ,26276465 ,6/13/2003
The Empire Strikes Back,10840307 ,823 ,209398025 ,6/20/1980
The Missing,10833633 ,2756 ,27011180 ,11/26/2003
We Own the Night,10826287 ,2362 ,28563179 ,10/12/2007
The Odd Life of Timothy Green,10822903 ,2598 ,51854875 ,8/15/2012
The Big Hit,10809424 ,2149 ,27007143 ,4/24/1998
Stick It,10803610 ,2038 ,26910736 ,4/28/2006
9,10740446 ,1661 ,31749894 ,9/9/2009
Brown Sugar,10738882 ,1372 ,27363891 ,10/11/2002
Bridget Jones's Diary,10733933 ,1611 ,71543427 ,4/13/2001
She's the Man,10730372 ,2623 ,33741133 ,3/17/2006
Stay Alive,10726406 ,2009 ,23086480 ,3/24/2006
Child's Play 2,10718520 ,1996 ,28501605 ,11/9/1990
A View to a Kill,10687114 ,1583 ,50327960 ,5/24/1985
The Sisterhood of the Traveling Pants 2,10678430 ,2707 ,44089964 ,8/6/2008
Police Academy 2: Their First Assignment,10675896 ,1613 ,55600000 ,3/29/1985
Chimpanzee,10673748 ,1563 ,28972764 ,4/20/2012
Money Talks,10654369 ,2005 ,40922619 ,8/22/1997
Lottery Ticket,10652297 ,1973 ,24719879 ,8/20/2010
Dance Flick,10643536 ,2450 ,25662155 ,5/22/2009
Juno,10634576 ,1019 ,143495265 ,12/25/2007
The Rainmaker (1997),10626507 ,2317 ,45916769 ,11/21/1997
The Three Musketeers (1993),10621992 ,2069 ,53898845 ,11/12/1993
Elizabethtown,10618711 ,2517 ,26850426 ,10/14/2005
Clueless,10612443 ,1653 ,56631572 ,7/21/1995
Season of the Witch,10612375 ,2816 ,24827228 ,1/7/2011
The Distinguished Gentleman,10611040 ,1933 ,46666502 ,12/4/1992
The Five-Year Engagement,10610060 ,2936 ,28835528 ,4/27/2012
Scott Pilgrim vs. the World,10609795 ,2818 ,31524275 ,8/13/2010
Money Train,10608297 ,2522 ,35431113 ,11/22/1995
Mighty Joe Young,10602042 ,2502 ,50632037 ,12/25/1998
Soul Surfer,10601862 ,2214 ,43853424 ,4/8/2011
The Host (2013),10600112 ,3202 ,26627201 ,3/29/2013
Black Sheep,10593609 ,2045 ,32417995 ,2/2/1996
Jet Li's Fearless,10590244 ,1806 ,24633730 ,9/22/2006
The Family Man,10554960 ,2388 ,75793305 ,12/22/2000
What to Expect When You're Expecting,10547068 ,3021 ,41152203 ,5/18/2012
Dragnet,10542669 ,1337 ,57387516 ,6/26/1987
The Secret Life of Bees,10527799 ,1591 ,37770162 ,10/17/2008
Spice World,10527222 ,2339 ,29342592 ,1/23/1998
Out for Justice,10524026 ,2010 ,39673161 ,4/12/1991
15 Minutes,10523154 ,2337 ,24403552 ,3/9/2001
The Bridges of Madison County,10519257 ,1805 ,71516617 ,6/2/1995
The Flintstones in Viva Rock Vegas,10518435 ,3040 ,35268275 ,4/28/2000
Million Dollar Arm,10515659 ,3019 ,36457627 ,5/16/2014
Urban Legend,10515444 ,2257 ,38072438 ,9/25/1998
Passenger 57,10513925 ,1734 ,44065653 ,11/6/1992
Parenthood,10506450 ,1262 ,100047830 ,8/2/1989
W.,10505668 ,2030 ,25534493 ,10/17/2008
Breach,10504990 ,1489 ,33231264 ,2/16/2007
The Ides of March,10470143 ,2199 ,40962534 ,10/7/2011
The Informant!,10464314 ,2505 ,33316821 ,9/18/2009
Crank,10457367 ,2515 ,27838408 ,9/1/2006
Shutter,10447559 ,2753 ,25928550 ,3/21/2008
Mystic River,10445547 ,1467 ,90135191 ,10/17/2003
Nightcrawler,10441000 ,2766 ,28816172 ,10/31/2014
License to Wed,10422258 ,2604 ,43799818 ,7/3/2007
The Art of War,10410993 ,2630 ,30208599 ,8/25/2000
Colombiana,10408176 ,2614 ,36665854 ,8/26/2011
Riding in Cars with Boys,10404652 ,2770 ,30165536 ,10/19/2001
Instinct,10390387 ,2059 ,34105207 ,6/4/1999
Three Men and a Baby,10384392 ,1006 ,167780960 ,11/25/1987
Michael Clayton,10373422 ,2511 ,49033882 ,10/12/2007
The Karate Kid Part III,10364544 ,1560 ,38956288 ,6/30/1989
D2: The Mighty Ducks,10356748 ,2182 ,45610410 ,3/25/1994
Pompeii,10340823 ,2658 ,23219748 ,2/21/2014
The Uninvited,10325824 ,2344 ,28596818 ,1/30/2009
The Musketeer,10312740 ,2438 ,27073640 ,9/7/2001
28 Days,10310672 ,2523 ,37170488 ,4/14/2000
Drillbit Taylor,10309986 ,3056 ,32862104 ,3/21/2008
The Avengers (1998),10305957 ,2466 ,23384939 ,8/14/1998
The Brothers,10302846 ,1378 ,27457409 ,3/23/2001
101 Dalmatians (Re-issue) (1991),10279044 ,1777 ,60830285 ,7/12/1991
Reno 911!: Miami,10273477 ,2702 ,20342161 ,2/23/2007
Every Which Way But Loose,10272294 ,1275 ,85196485 ,N/A
The 13th Warrior,10267756 ,2306 ,32698899 ,8/27/1999
Good Will Hunting,10261471 ,1787 ,138433435 ,1/9/1998
Cape Fear,10261025 ,924 ,79091969 ,11/15/1991
Hot Shots! Part Deux,10250661 ,2122 ,38922972 ,5/21/1993
Flags of Our Fathers,10245190 ,1876 ,33602376 ,10/20/2006
Bill and Ted's Bogus Journey,10241268 ,1620 ,38037513 ,7/19/1991
From Dusk Till Dawn,10240805 ,2004 ,25836616 ,1/19/1996
George A. Romero's Land of the Dead,10221705 ,2249 ,20700082 ,6/24/2005
The Negotiator,10218831 ,2436 ,44547681 ,7/31/1998
Dragonfly,10216025 ,2507 ,30323400 ,2/22/2002
Hostage,10214734 ,2123 ,34639939 ,3/11/2005
The River Wild,10214450 ,2074 ,46816343 ,9/30/1994
Single White Female,10212401 ,1744 ,48017402 ,8/14/1992
Because of Winn-Dixie,10208431 ,3188 ,32647042 ,2/18/2005
Proof of Life,10207869 ,2705 ,32598931 ,12/8/2000
Children of Men,10197775 ,1209 ,35552383 ,1/5/2007
Far and Away,10194520 ,1583 ,58883840 ,5/22/1992
Mickey Blue Eyes,10178289 ,2573 ,33864342 ,8/20/1999
The Incredible Burt Wonderstone,10177257 ,3160 ,22537881 ,3/15/2013
Tin Cup,10128834 ,2012 ,53854588 ,8/16/1996
The Women (2008),10115210 ,2962 ,26902075 ,9/12/2008
Clockstoppers,10108333 ,2540 ,36989956 ,3/29/2002
Biker Boyz,10106992 ,1766 ,22076772 ,1/31/2003
Piranha 3D,10106872 ,2470 ,25003155 ,8/20/2010
Hard Target,10106500 ,1972 ,32589677 ,8/20/1993
Mercury Rising,10104715 ,2386 ,32935289 ,4/3/1998
The Tale of Despereaux,10103675 ,3104 ,50877145 ,12/19/2008
Cellular,10100571 ,2749 ,32003620 ,9/10/2004
Serenity,10086680 ,2188 ,25514517 ,9/30/2005
Push,10079109 ,2313 ,31811527 ,2/6/2009
