Oogieloves In The BIG Balloon Adventure,443901,2160,1065907,8/29/12
Delgo,511920,2160,694782,12/12/08
Saw 10th Anniversary,650051,2063,815324,10/31/14
P2,2083398,2131,3995018,11/9/07
Major League: Back to the Minors,2087011,2322,3572443,4/17/98
The Real Cancun,2108796,2261,3825421,4/25/03
Spider-Man / Men in Black II,2111862,2078,6632970,9/6/02
College,2153109,2123,4694636,8/29/08
The Adventures of Pluto Nash,2182900,2320,4420080,8/16/02
Bandslam,2231273,2121,5210988,8/14/09
All Dogs Go to Heaven 2,2256118,2037,8620678,3/29/96
Chasing Mavericks,2268274,2002,6002756,10/26/12
Deception (2008),2312146,2001,4598506,4/25/08
I Dreamed of Africa,2411445,2112,6651522,5/5/00
Teacher's Pet,2461252,2027,6491969,1/16/04
Grind,2511403,2253,5123696,8/15/03
Won't Back Down,2603370,2515,5310554,9/28/12
The Rocker,2636048,2784,6409528,8/20/08
Lucky You,2710445,2525,5758950,5/4/07
From Justin to Kelly,2715848,2001,4928883,6/20/03
The Last Legion,2746312,2002,5933494,8/17/07
Thunderbirds,2766810,2057,6880917,7/30/04
Alone in the Dark,2834421,2124,5178569,1/28/05
Most Wanted,2836490,2098,6391946,10/10/97
Almost Heroes,2837928,2048,6136856,5/29/98
What Planet Are You From?,3008746,2248,6291602,3/3/00
Grandma's Boy,3009341,2015,6090172,1/6/06
Lost and Found (1999),3024709,2469,6552255,4/23/99
Town & Country,3029858,2222,6719973,4/27/01
Tall Tale,3046181,2065,8247627,3/24/95
City of Ember,3129473,2022,7873007,10/10/08
Trapped,3210765,2227,7073251,9/20/02
The Big Year,3251884,2150,7204138,10/14/11
Warriors of Virtue,3277084,2101,6524620,5/2/97
Turbo: A Power Rangers Movie,3301135,2113,8363899,3/28/97
The Big Bounce,3336374,2304,6489476,1/30/04
Hoot,3368197,3018,8117637,5/5/06
Martian Child,3376669,2020,7500310,11/2/07
Daddy Day Camp,3402678,2332,13235267,8/8/07
Kull the Conqueror,3450145,2091,6112613,8/29/97
Take Me Home Tonight,3464679,2003,6928068,3/4/11
Rumor Has It,3473155,2815,43000262,12/25/05
Wrongfully Accused,3504630,2062,9623329,8/21/98
Buddy,3504671,2113,10113400,6/6/97
Paranoia,3528376,2459,7385015,8/16/13
Joe Somebody,3553725,2506,22771646,12/21/01
3 Ninjas Kick Back,3556310,2038,11798854,5/6/94
The Powerpuff Girls Movie,3583114,2340,11412414,7/3/02
Doogal,3605899,2318,7417319,2/24/06
Sex Drive,3607164,2421,8402485,10/17/08
A Good Year,3721526,2066,7459300,11/10/06
The Seeker: The Dark Is Rising,3745315,3141,8794452,10/5/07
Legends of Oz: Dorothy's Return,3747780,2658,8462027,5/9/14
Gigli,3753518,2215,6087542,8/1/03
Larger Than Life,3779504,2433,8315693,11/1/96
John Carpenter's Ghosts of Mars,3804452,2048,8709640,8/24/01
The Condemned,3807595,2310,7371706,4/27/07
Machete Kills,3837183,2538,8008161,10/11/13
Firehouse Dog,3838916,2860,13932383,4/4/07
Firestorm,3849308,2037,8165212,1/9/98
Everybody's Fine,3852068,2133,9208876,12/4/09
The Quiet Ones,3880053,2027,8509867,4/25/14
Dark Blue,3880688,2176,9250301,2/21/03
Vampire Academy,3921742,2676,7791979,2/7/14
First Daughter,4002067,2260,9055921,9/24/04
The King and I (1999),4007565,2352,11993021,3/19/99
Raise Your Voice,4022693,2521,10411980,10/8/04
The Astronaut's Wife,4027003,2209,10672566,8/27/99
MacGruber,4043495,2551,8525600,5/21/10
Rendition,4060012,2250,9736045,10/19/07
The Man,4065014,2040,8330720,9/9/05
The Longshots,4080687,2089,11537046,8/22/08
Fun Size,4101017,3014,9409538,10/26/12
Whatever It Takes,4104298,2272,8745680,3/24/00
Hoodwinked Too! Hood vs. Evil,4108630,2505,10143779,4/29/11
Thomas and the Magic Railroad,4154932,2016,15933506,7/26/00
Sleepover,4171226,2207,9436390,7/9/04
Walk Hard: The Dewey Cox Story,4174383,2650,18317151,12/21/07
Flipper,4209525,2385,20080020,5/17/96
People Like Us,4255423,2055,12434778,6/29/12
Death to Smoochy,4266463,2164,8364691,3/29/02
Punisher: War Zone,4271451,2508,8050977,12/5/08
Jade,4284246,2164,9851610,10/13/95
Arthur and the Invisibles,4294936,2247,15132763,1/12/07
I Don't Know How She Does It,4402201,2476,9662284,9/16/11
Three to Tango,4406135,2234,10570375,10/22/99
Godzilla 2000,4407720,2111,10037390,8/18/00
Pandorum,4424126,2506,10330853,9/25/09
Surviving Christmas,4441356,2750,11663156,10/22/04
The Astronaut Farmer,4454319,2155,11003643,2/23/07
Turbulence,4464008,2094,11538235,1/10/97
Doug's First Movie,4470489,2268,19440089,3/26/99
Oliver & Company (Re-issue),4490921,2180,20872291,3/29/96
Getaway (2013),4503892,2130,10501938,8/30/13
Zoom,4510408,2501,11989328,8/11/06
Hit and Run,4526222,2870,13749300,8/22/12
Chill Factor,4529231,2558,11263966,9/3/99
Out Cold,4531665,2011,13906394,11/21/01
Lucky Numbers,4536625,2497,10042516,10/27/00
Bullet to the Head,4548201,2404,9489829,2/1/13
Josie and the Pussycats,4562455,2556,14271015,4/11/01
The Express,4562675,2808,9793406,10/10/08
Battle of the Year,4603177,2008,8888355,9/20/13
The Man Who Knew Too Little,4604819,2036,13717039,11/14/97
Tyler Perry Presents Peeples,4611534,2041,9177065,5/10/13
Duplex,4617128,2189,9692135,9/26/03
Mad City,4649742,2194,10541523,11/7/97
Domino,4670120,2223,10169202,10/14/05
The Big Green,4688285,2072,17736619,9/29/95
In the Land of Women,4712341,2155,11052958,4/20/07
Prom,4712638,2730,10130219,4/29/11
Bats,4717902,2540,10155690,10/22/99
The Words,4750894,2801,11494838,9/7/12
Dragonball Evolution,4756488,2181,9362785,4/10/09
Gone,4770360,2186,11682205,2/24/12
"Monsters, Inc. (3D)",4774686,2618,34043006,12/19/12
Little Giants,4778029,2022,19306362,10/14/94
Head Over Heels,4804595,2338,10424470,2/2/01
Movie 43,4805878,2023,8840453,1/25/13
Black Dog,4809375,2025,12951088,5/1/98
Muppets from Space,4826049,2265,16625807,7/14/99
