Drag Me to Hell,15825480 ,2508 ,42100625 ,5/29/2009
Barnyard: The Original Party Animals,15820864 ,3311 ,72637803 ,8/4/2006
I Know What You Did Last Summer,15818645 ,2524 ,72586134 ,10/17/1997
One Direction: This is Us,15815497 ,2735 ,28873374 ,8/30/2013
Step Up 3-D,15812311 ,2435 ,42400223 ,8/6/2010
Free Birds,15805237 ,3736 ,55750480 ,11/1/2013
The Hills Have Eyes,15708512 ,2620 ,41778863 ,3/10/2006
If I Stay,15679190 ,2907 ,50474843 ,8/22/2014
Reign of Fire,15632281 ,2629 ,43061982 ,7/12/2002
Shanghai Noon,15607034 ,2711 ,56937502 ,5/26/2000
Tyler Perry's Good Deeds,15583924 ,2132 ,35025791 ,2/24/2012
Broken Arrow (1996),15583510 ,2388 ,70770147 ,2/9/1996
Sky Captain and the World of Tomorrow,15580278 ,3170 ,37762677 ,9/17/2004
Footloose (2011),15556113 ,3549 ,51802742 ,10/14/2011
Zoolander,15525043 ,2507 ,45172250 ,9/28/2001
Bad Boys,15523358 ,2132 ,65807024 ,4/7/1995
Traffic,15517549 ,1510 ,124115725 ,1/5/2001
A Few Good Men,15517468 ,1925 ,141340178 ,12/11/1992
Vertical Limit,15507845 ,2307 ,69243859 ,12/8/2000
Walking Tall,15501114 ,2836 ,46437717 ,4/2/2004
Days of Thunder,15490445 ,2307 ,82670733 ,6/29/1990
Doom,15488870 ,3044 ,28212337 ,10/21/2005
Road Trip,15484004 ,2530 ,68540777 ,5/19/2000
Horrible Bosses 2,15457418 ,3375 ,25338521 ,11/26/2014
Jack Ryan: Shadow Recruit,15451981 ,3387 ,50577412 ,1/17/2014
Ghosts of Girlfriends Past,15411434 ,3175 ,55250026 ,5/1/2009
City of Angels,15369048 ,2212 ,78685114 ,4/10/1998
Last Action Hero,15338241 ,2306 ,50016394 ,6/18/1993
Bird on a Wire,15338160 ,1944 ,70978012 ,5/18/1990
The Beach,15277921 ,2547 ,39785027 ,2/11/2000
In the Line of Fire,15269388 ,1903 ,102314823 ,7/9/1993
Jeepers Creepers 2,15269324 ,3124 ,35667218 ,8/29/2003
Jumping the Broom,15215487 ,2035 ,37295394 ,5/6/2011
Beverly Hills Cop,15214805 ,1532 ,234760478 ,12/5/1984
Jack Reacher,15210156 ,3352 ,80070736 ,12/21/2012
Varsity Blues,15204148 ,2121 ,52894169 ,1/15/1999
Rising Sun,15195941 ,1510 ,63179523 ,7/30/1993
King Arthur,15193907 ,3086 ,51882244 ,7/7/2004
Thirteen Ghosts,15165355 ,2781 ,41867960 ,10/26/2001
The Jackal,15164595 ,2193 ,54930280 ,11/14/1997
A Civil Action,15163484 ,1802 ,56709981 ,1/8/1999
Daybreakers,15146692 ,2523 ,30101577 ,1/8/2010
Basic Instinct,15129385 ,1567 ,117727224 ,3/20/1992
Stuart Little 2,15115152 ,3255 ,64956806 ,7/19/2002
The Brothers Grimm,15092079 ,3087 ,37916267 ,8/26/2005
Semi-Pro,15075114 ,3121 ,33479698 ,2/29/2008
Confessions of a Shopaholic,15066360 ,2507 ,44277350 ,2/13/2009
Collateral Damage,15058432 ,2824 ,40077257 ,2/8/2002
Orange County,15053226 ,2317 ,41076018 ,1/11/2002
The Tuxedo,15051028 ,3022 ,50547998 ,9/27/2002
Dreamcatcher,15027423 ,2945 ,33715436 ,3/21/2003
Dragonheart,15027150 ,2130 ,51367375 ,5/31/1996
Phone Booth,15021088 ,2481 ,46566212 ,4/4/2003
In & Out,15019821 ,1992 ,63856929 ,9/19/1997
Stuart Little,15018223 ,2878 ,140035367 ,12/17/1999
Unforgiven,15018007 ,2071 ,101157447 ,8/7/1992
Meet Joe Black,15017995 ,2503 ,44619100 ,11/13/1998
The Ring,15015393 ,1981 ,129128133 ,10/18/2002
Showtime,15011430 ,2917 ,38082712 ,3/15/2002
Rules of Engagement,15011181 ,3155 ,61335230 ,4/7/2000
Apocalypto,15005604 ,2465 ,50866635 ,12/8/2006
Lakeview Terrace,15004672 ,2464 ,39263506 ,9/19/2008
The Roommate,15002635 ,2534 ,37300107 ,2/4/2011
Priest,14953664 ,2864 ,29136626 ,5/13/2011
Dangerous Minds,14931503 ,1348 ,84919401 ,8/11/1995
Harold and Kumar Escape from Guantanamo Bay,14908404 ,2510 ,38108728 ,4/25/2008
Surrogates,14902692 ,2951 ,38577772 ,9/25/2009
Seven Pounds,14851136 ,2758 ,69951824 ,12/19/2008
Pitch Perfect,14846830 ,2770 ,65001093 ,10/5/2012
A Time to Kill,14823159 ,2123 ,108766007 ,7/26/1996
Source Code,14812094 ,2961 ,54712227 ,4/1/2011
The Prestige,14801808 ,2281 ,53089891 ,10/20/2006
Australia,14800723 ,2642 ,49554002 ,11/26/2008
The Rite,14789393 ,2985 ,33047633 ,1/28/2011
Queen of the Damned,14757535 ,2511 ,30336800 ,2/22/2002
Made of Honor,14756850 ,2729 ,46012734 ,5/2/2008
The Cabin in the Woods,14743614 ,2811 ,42073277 ,4/13/2012
The Messengers,14713321 ,2528 ,35374833 ,2/2/2007
White Men Can't Jump,14711124 ,1923 ,76253806 ,3/27/1992
Ali,14710892 ,2446 ,58203105 ,12/25/2001
